Theta (radians),Mach,V_r,V_theta,P/P0,T/T0,rho/rho0
3.4036063597330672,2.9622489277848905,2.962244133560916,-0.005329479024224736,0.028812660300929126,0.3629785485638581,0.07937841069376632
3.403656359733067,2.962249199741463,2.9622438597067693,-0.0056246776333719285,0.028812648505510217,0.3629785061074754,0.07937838748220258
3.403706359733067,2.9622494862464634,2.962243571094076,-0.005919820880025512,0.028812636079096055,0.36297846137987755,0.07937836302893465
3.403756359733067,2.9622497872861193,2.9622432677256043,-0.006214908767808385,0.028812623022284937,0.36297841438321593,0.07937833733513942
3.4038063597330668,2.9622501028466623,2.962242949604122,-0.0065099413003586164,0.028812609335674866,0.3629783651196408,0.07937831040199318
3.4038563597330667,2.9622504329143298,2.9622426167323965,-0.006804918481329431,0.028812595019863767,0.36297831359130206,0.07937828223067207
3.4039063597330665,2.962250777475362,2.962242269113196,-0.007099840314389208,0.028812580075449398,0.3629782598003488,0.07937825282235184
3.4039563597330664,2.9622511365160045,2.9622419067492873,-0.0073947068032214685,0.02881256450302933,0.3629782037489295,0.07937822217820788
3.4040063597330663,2.9622515100225066,2.9622415296434377,-0.007689517951524873,0.028812548303201107,0.3629781454391922,0.07937819029941547
3.404056359733066,2.9622518979811234,2.962241137798414,-0.00798427376301321,0.028812531476561966,0.36297808487328403,0.07937815718714931
3.404106359733066,2.9622523003781125,2.9622407312169834,-0.00827897424141539,0.02881251402370912,0.3629780220533517,0.07937812284258401
3.404156359733066,2.9622527171997377,2.962240309901912,-0.00857361939047544,0.02881249594523953,0.362977956981541,0.07937808726689365
3.404206359733066,2.9622531484322665,2.9622398738559665,-0.008868209213952488,0.02881247724175007,0.3629778896599973,0.07937805046125213
3.4042563597330657,2.9622535940619708,2.962239423081913,-0.009162743715620765,0.02881245791383746,0.3629778200908653,0.079378012426833
3.4043063597330656,2.9622540540751268,2.962238957582517,-0.009457222899269592,0.028812437962098238,0.36297774827628904,0.07937797316480948
3.4043563597330655,2.962254528458016,2.962238477360545,-0.009751646768703376,0.028812417387128753,0.36297767421841154,0.07937793267635435
3.4044063597330654,2.9622550171969233,2.9622379824187623,-0.010046015327741596,0.028812396189525344,0.362977597919376,0.07937789096264036
3.4044563597330653,2.9622555202781395,2.9622374727599343,-0.010340328580218801,0.028812374369884014,0.36297751938132405,0.0793778480248396
3.404506359733065,2.9622560376879576,2.9622369483868263,-0.0106345865299846,0.028812351928800807,0.36297743860639753,0.0793778038641242
3.404556359733065,2.9622565694126783,2.962236409302203,-0.010928789180903651,0.028812328866871365,0.36297735559673666,0.07937775848166548
3.404606359733065,2.962257115438604,2.9622358555088297,-0.01122293653685566,0.0288123051846914,0.36297727035448174,0.07937771187863485
3.404656359733065,2.962257675752043,2.962235287009471,-0.011517028601735368,0.028812280882856388,0.3629771828817724,0.07937766405620328
3.4047063597330647,2.962258250339308,2.962234703806891,-0.011811065379452547,0.0288122559619616,0.36297709318074706,0.07937761501554129
3.4047563597330646,2.962258839186715,2.962234105903854,-0.012105046873931984,0.028812230422602253,0.36297700125354415,0.07937756475781929
3.4048063597330644,2.962259442280588,2.962233493303125,-0.012398973089113481,0.028812204265373245,0.3629769071023007,0.07937751328420702
3.4048563597330643,2.962260059607251,2.962232866007467,-0.012692844028951846,0.028812177490869537,0.36297681072915383,0.0793774605958743
3.404906359733064,2.9622606911530354,2.9622322240196435,-0.012986659697416882,0.028812150099685744,0.36297671213623955,0.07937740669399033
3.404956359733064,2.9622613369042767,2.9622315673424184,-0.01328042009849338,0.0288121220924164,0.36297661132569325,0.07937735157972406
3.405006359733064,2.9622619968473147,2.962230895978555,-0.013574125236181109,0.028812093469655867,0.36297650829964967,0.07937729525424407
3.405056359733064,2.962262670968493,2.9622302099308158,-0.013867775114494814,0.02881206423199843,0.3629764030602432,0.07937723771871884
3.4051063597330637,2.962263359254162,2.9622295092019644,-0.0141613697374642,0.028812034380038036,0.362976295609607,0.07937717897431609
3.4051563597330636,2.962264061690674,2.962228793794763,-0.014454909109133931,0.02881200391436865,0.36297618594987396,0.0793771190222036
3.4052063597330635,2.962264778264388,2.962228063711974,-0.014748393233563615,0.028811972835583986,0.36297607408317617,0.07937705786354861
3.4052563597330634,2.962265508961666,2.96222731895636,-0.0150418221148278,0.02881194114427758,0.362975960011645,0.07937699549951803
3.4053063597330633,2.962266253768876,2.962226559530683,-0.015335195757015963,0.028811908841042875,0.3629758437374113,0.07937693193127848
3.405356359733063,2.9622670126723905,2.9622257854377048,-0.015628514164232506,0.02881187592647309,0.362975725262605,0.07937686715999623
3.405406359733063,2.9622677856585855,2.9622249966801872,-0.015921777340596743,0.02881184240116133,0.3629756045893557,0.07937680118683722
3.405456359733063,2.9622685727138416,2.9622241932608913,-0.016214985290242893,0.028811808265700543,0.3629754817197921,0.07937673401296712
3.405506359733063,2.962269373824546,2.9622233751825786,-0.016508138017320075,0.028811773520683422,0.362975356656042,0.07937666563955101
3.4055563597330627,2.9622701889770875,2.9622225424480098,-0.01680123552599229,0.028811738166702665,0.3629752294002332,0.07937659606775402
3.4056063597330626,2.962271018157863,2.962221695059946,-0.017094277820438424,0.028811702204350614,0.36297509995449206,0.07937652529874055
3.4056563597330625,2.9622718613532713,2.962220833021148,-0.017387264904852238,0.028811665634219576,0.36297496832094467,0.07937645333367487
3.4057063597330623,2.9622727185497175,2.962219956334376,-0.017680196783442348,0.028811628456901647,0.3629748345017163,0.07937638017372085
3.4057563597330622,2.9622735897336097,2.96221906500239,-0.017973073460432226,0.028811590672988822,0.36297469849893194,0.07937630582004217
3.405806359733062,2.962274474891363,2.96221815902795,-0.018265894940060194,0.028811552283072795,0.3629745603147151,0.07937623027380183
3.405856359733062,2.962275374009394,2.9622172384138157,-0.018558661226579405,0.028811513287745224,0.36297441995118923,0.07937615353616279
3.405906359733062,2.9622762870741277,2.962216303162747,-0.018851372324257848,0.02881147368759757,0.36297427741047705,0.07937607560828756
3.4059563597330618,2.962277214071991,2.9622153532775033,-0.019144028237378322,0.02881143348322106,0.36297413269470025,0.07937599649133822
3.4060063597330617,2.9622781549894164,2.962214388760843,-0.019436628970238446,0.02881139267520687,0.3629739858059802,0.0793759161864767
3.4060563597330615,2.9622791098128416,2.9622134096155257,-0.019729174527150634,0.028811351264145885,0.36297383674643735,0.07937583469486434
3.4061063597330614,2.962280078528708,2.9622124158443097,-0.0200216649124421,0.028811309250628934,0.3629736855181916,0.07937575201766235
3.4061563597330613,2.9622810611234627,2.9622114074499537,-0.020314100130454836,0.028811266635246573,0.36297353212336186,0.07937566815603139
